
Code  10
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        1          129.6              2
     1        2          107.2              2
     1        5           61.9              5
     1        6           56.5              4
     1        7           62.3              3
     1        8           23.3              4
     1        9          123.9              5
     1       10           38.9              1
     1       11           43.8              2
     1       12            0.6              2
     1       14           63.9              2
     1       16           23.7              5
     1       20           76.7              5
     1       21           28.9              1
     1       24          120.3              2
     1       25           81.2              5
     1       26          135.9              1
     1       27           23.5              2
     1       28           38.6              2
     1       29          140.9              4
     1       31           33.0              4
     1       33          119.4              3
     1       34           96.4              3
     1       35           20.0              2
     1       37          139.9              5
     1       38            0.2              2
     1       39           24.4              5
     1       40          142.0              4
     1       43            5.7              6
     1       44          142.5              5
     1       45           98.1              5
     1       46           38.9              6
     1       47          114.5              1
     1       48          118.7              6
     1       49          140.8              2
     1       50           58.9              3
     1       51           87.5              3
     1       53          114.3              1
     1       55          142.9              4
     1       57           86.4              5
     1       58           63.3              5
     1       59          100.9              5
     1       60           72.4              1
     1       63           13.1              2
     1       64           61.4              4
     1       65           55.7              2
     1       66          125.3              3
     1       67          140.5              5
     1       68          112.7              4
     1       74          135.8              2
     1       75           64.8              3
     1       76           52.4              3
     1       77           46.5              5
     1       80           90.1              5
     1       82           63.8              2
     1       83          116.0              2
     1       84            8.1              3
     1       85           33.3              5
     1       86          106.7              3
     1       87           26.1              2
     1       88          109.0              6
     1       90          137.9              5
     1       92           70.0              3
     1       94           12.0              4
     1       97           87.1              1
     1       98           61.8              3
     1       99           71.6              2
     1      100           93.7              3
     2        1          134.6              2
     2        2          134.5              2
     2        3          140.6              2
     2        5           99.4              4
     2        6           34.9              4
     2        7           61.0              2
     2        9          103.6              5
     2       11           70.3              5
     2       12           40.4              3
     2       13           94.1              2
     2       14          106.1              5
     2       15          131.3              4
     2       16           81.5              2
     2       17          136.2              6
     2       18          109.3              5
     2       19           52.1              4
     2       21           41.4              2
     2       23           95.4              5
     2       24          122.4              5
     2       25           78.2              5
     2       26           54.9              6
     2       27           11.7              2
     2       29           89.3              4
     2       30            2.9              2
     2       31           17.5              3
     2       32           14.0              5
     2       34          120.9              4
     2       35            0.5              5
     2       36            7.9              4
     2       37           71.3              6
     2       38           31.6              2
     2       39          129.2              5
     2       40           78.4              2
     2       41           31.8              4
     2       42           80.8              3
     2       43          116.9              4
     2       44           20.9              2
     2       45           14.1              2
     2       47          135.5              1
     2       50            9.6              5
     2       51           52.5              4
     2       52          119.5              4
     2       54           70.1              5
     2       55           62.9              4
     2       57          135.9              2
     2       58           67.5              2
     2       59          111.0              4
     2       60           30.7              1
     2       61          109.7              3
     2       62           42.2              4
     2       63           42.8              3
     2       64            1.4              2
     2       65           24.5              4
     2       66           75.7              2
     2       67           87.2              6
     2       70           74.4              3
     2       71           72.9              5
     2       72          137.2              2
     2       73          123.9              5
     2       74          104.0              6
     2       78           21.1              3
     2       79           13.7              2
     2       81           90.1              4
     2       84           63.5              3
     2       86           34.8              2
     2       87           76.3              4
     2       89            5.2              5
     2       93           88.9              6
     2       94          119.0              1
     2       95           29.4              3
     2       97          107.0              3
     2       98           69.5              1
     2       99           36.8              1
     2      100           36.7              2
     3        2          136.9              3
     3        3           93.3              5
     3        4          130.9              2
     3        5           35.2              3
     3        7            9.1              2
     3        8           61.0              3
     3        9            8.5              4
     3       10            0.7              3
     3       11           35.3              5
     3       12           61.4              1
     3       15           38.4              3
     3       16          104.2              2
     3       17          104.6              1
     3       19           80.0              3
     3       21          134.2              3
     3       23           37.7              4
     3       24           72.3              1
     3       25           86.5              2
     3       26          132.3              2
     3       27           19.8              2
     3       28           57.8              4
     3       29          102.3              3
     3       31           44.5              3
     3       32            1.2              5
     3       33            4.3              1
     3       35          134.2              3
     3       37           98.5              5
     3       39          135.9              5
     3       41          115.8              3
     3       42          115.5              4
     3       43           67.4              3
     3       44           36.1              3
     3       45          116.1              2
     3       46          120.4              5
     3       47          117.6              3
     3       48           95.3              2
     3       49           30.3              3
     3       50           33.2              3
     3       51           88.6              5
     3       52           73.2              5
     3       53          104.5              2
     3       54          129.3              1
     3       55          136.9              5
     3       56          137.2              2
     3       57          113.0              5
     3       59           92.7              2
     3       60           31.7              6
     3       64          119.6              5
     3       66            8.4              6
     3       67           70.4              2
     3       68          111.8              1
     3       69           21.6              3
     3       70           98.2              3
     3       71           13.5              1
     3       72           53.4              2
     3       75           62.0              2
     3       76           59.2              4
     3       77          104.0              4
     3       78           88.4              3
     3       79            6.6              5
     3       83           86.6              5
